"Race","Age.Group","Year.of.diagnosis","Sex","Count"
"All","30-34 years","2017-2019","Male and female",66
"All","30-34 years","2017-2019","Male",38
"All","30-34 years","2017-2019","Female",28
"All","30-34 years","2017-2019","Male and female",60
"All","30-34 years","2017-2019","Male",35
"All","30-34 years","2017-2019","Female",25
"All","35-39 years","1975-2019","Male and female",2851
"All","35-39 years","1975-2019","Male",1662
"All","35-39 years","1975-2019","Female",1189
"All","35-39 years","1975-1977","Male and female",40
"All","35-39 years","1975-1977","Male",23
"All","35-39 years","1975-1977","Female",17
"All","35-39 years","1975-1977","Male and female",35
"All","35-39 years","1975-1977","Male",20
"All","35-39 years","1975-1977","Female",15
"All","35-39 years","1975-1977","Male and female",27
"All","35-39 years","1975-1977","Male",21
"All","35-39 years","1975-1977","Female",6
"All","35-39 years","1978-1980","Male and female",41
"All","35-39 years","1978-1980","Male",24
"All","35-39 years","1978-1980","Female",17
"All","35-39 years","1978-1980","Male and female",41
"All","35-39 years","1978-1980","Male",20
"All","35-39 years","1978-1980","Female",21
"All","35-39 years","1978-1980","Male and female",41
"All","35-39 years","1978-1980","Male",24
"All","35-39 years","1978-1980","Female",17
"All","35-39 years","1981-1983","Male and female",39
"All","35-39 years","1981-1983","Male",25
"All","35-39 years","1981-1983","Female",14
"All","35-39 years","1981-1983","Male and female",49
"All","35-39 years","1981-1983","Male",30
"All","35-39 years","1981-1983","Female",19
"All","35-39 years","1981-1983","Male and female",57
"All","35-39 years","1981-1983","Male",34
"All","35-39 years","1981-1983","Female",23
"All","35-39 years","1984-1986","Male and female",60
"All","35-39 years","1984-1986","Male",37
"All","35-39 years","1984-1986","Female",23
"All","35-39 years","1984-1986","Male and female",60
"All","35-39 years","1984-1986","Male",29
"All","35-39 years","1984-1986","Female",31
"All","35-39 years","1984-1986","Male and female",47
"All","35-39 years","1984-1986","Male",26
"All","35-39 years","1984-1986","Female",21
"All","35-39 years","1987-1989","Male and female",65
"All","35-39 years","1987-1989","Male",28
"All","35-39 years","1987-1989","Female",37
"All","35-39 years","1987-1989","Male and female",64
"All","35-39 years","1987-1989","Male",38
"All","35-39 years","1987-1989","Female",26
"All","35-39 years","1987-1989","Male and female",55
"All","35-39 years","1987-1989","Male",28
"All","35-39 years","1987-1989","Female",27
"All","35-39 years","1990-1992","Male and female",54
"All","35-39 years","1990-1992","Male",33
"All","35-39 years","1990-1992","Female",21
"All","35-39 years","1990-1992","Male and female",52
"All","35-39 years","1990-1992","Male",37
"All","35-39 years","1990-1992","Female",15
"All","35-39 years","1990-1992","Male and female",59
"All","35-39 years","1990-1992","Male",42
"All","35-39 years","1990-1992","Female",17
"All","35-39 years","1993-1995","Male and female",56
"All","35-39 years","1993-1995","Male",37
"All","35-39 years","1993-1995","Female",19
"All","35-39 years","1993-1995","Male and female",65
"All","35-39 years","1993-1995","Male",42
"All","35-39 years","1993-1995","Female",23
"All","35-39 years","1993-1995","Male and female",70
"All","35-39 years","1993-1995","Male",46
"All","35-39 years","1993-1995","Female",24
"All","35-39 years","1996-1998","Male and female",66
"All","35-39 years","1996-1998","Male",32
"All","35-39 years","1996-1998","Female",34
"All","35-39 years","1996-1998","Male and female",73
"All","35-39 years","1996-1998","Male",41
"All","35-39 years","1996-1998","Female",32
"All","35-39 years","1996-1998","Male and female",75
"All","35-39 years","1996-1998","Male",47
"All","35-39 years","1996-1998","Female",28
"All","35-39 years","1999-2001","Male and female",73
"All","35-39 years","1999-2001","Male",45
"All","35-39 years","1999-2001","Female",28
"All","35-39 years","1999-2001","Male and female",76
"All","35-39 years","1999-2001","Male",44
"All","35-39 years","1999-2001","Female",32
"All","35-39 years","1999-2001","Male and female",62
"All","35-39 years","1999-2001","Male",36
"All","35-39 years","1999-2001","Female",26
"All","35-39 years","2002-2004","Male and female",66
"All","35-39 years","2002-2004","Male",40
"All","35-39 years","2002-2004","Female",26
"All","35-39 years","2002-2004","Male and female",60
"All","35-39 years","2002-2004","Male",36
"All","35-39 years","2002-2004","Female",24
"All","35-39 years","2002-2004","Male and female",52
"All","35-39 years","2002-2004","Male",28
"All","35-39 years","2002-2004","Female",24
"All","35-39 years","2005-2007","Male and female",66
"All","35-39 years","2005-2007","Male",41
"All","35-39 years","2005-2007","Female",25
"All","35-39 years","2005-2007","Male and female",70
"All","35-39 years","2005-2007","Male",39
"All","35-39 years","2005-2007","Female",31
"All","35-39 years","2005-2007","Male and female",51
"All","35-39 years","2005-2007","Male",32
"All","35-39 years","2005-2007","Female",19
"All","35-39 years","2008-2010","Male and female",77
"All","35-39 years","2008-2010","Male",46
"All","35-39 years","2008-2010","Female",31
"All","35-39 years","2008-2010","Male and female",78
"All","35-39 years","2008-2010","Male",42
"All","35-39 years","2008-2010","Female",36
"All","35-39 years","2008-2010","Male and female",80
"All","35-39 years","2008-2010","Male",41
"All","35-39 years","2008-2010","Female",39
"All","35-39 years","2011-2013","Male and female",75
"All","35-39 years","2011-2013","Male",39
"All","35-39 years","2011-2013","Female",36
"All","35-39 years","2011-2013","Male and female",75
"All","35-39 years","2011-2013","Male",36
"All","35-39 years","2011-2013","Female",39
"All","35-39 years","2011-2013","Male and female",79
"All","35-39 years","2011-2013","Male",51
"All","35-39 years","2011-2013","Female",28
"All","35-39 years","2014-2016","Male and female",87
"All","35-39 years","2014-2016","Male",45
"All","35-39 years","2014-2016","Female",42
"All","35-39 years","2014-2016","Male and female",73
"All","35-39 years","2014-2016","Male",39
"All","35-39 years","2014-2016","Female",34
"All","35-39 years","2014-2016","Male and female",88
"All","35-39 years","2014-2016","Male",52
"All","35-39 years","2014-2016","Female",36
"All","35-39 years","2017-2019","Male and female",79
"All","35-39 years","2017-2019","Male",47
"All","35-39 years","2017-2019","Female",32
"All","35-39 years","2017-2019","Male and female",92
"All","35-39 years","2017-2019","Male",58
"All","35-39 years","2017-2019","Female",34
"All","35-39 years","2017-2019","Male and female",101
"All","35-39 years","2017-2019","Male",61
"All","35-39 years","2017-2019","Female",40
"All","40-44 years","1975-2019","Male and female",3499
"All","40-44 years","1975-2019","Male",2056
"All","40-44 years","1975-2019","Female",1443
"All","40-44 years","1975-1977","Male and female",32
"All","40-44 years","1975-1977","Male",13
"All","40-44 years","1975-1977","Female",19
"All","40-44 years","1975-1977","Male and female",47
"All","40-44 years","1975-1977","Male",30
"All","40-44 years","1975-1977","Female",17
"All","40-44 years","1975-1977","Male and female",34
"All","40-44 years","1975-1977","Male",21
"All","40-44 years","1975-1977","Female",13
"All","40-44 years","1978-1980","Male and female",44
"All","40-44 years","1978-1980","Male",28
"All","40-44 years","1978-1980","Female",16
"All","40-44 years","1978-1980","Male and female",49
"All","40-44 years","1978-1980","Male",31
"All","40-44 years","1978-1980","Female",18
"All","40-44 years","1978-1980","Male and female",56
"All","40-44 years","1978-1980","Male",31
"All","40-44 years","1978-1980","Female",25
"All","40-44 years","1981-1983","Male and female",38
"All","40-44 years","1981-1983","Male",24
"All","40-44 years","1981-1983","Female",14
"All","40-44 years","1981-1983","Male and female",50
"All","40-44 years","1981-1983","Male",36
"All","40-44 years","1981-1983","Female",14
"All","40-44 years","1981-1983","Male and female",57
"All","40-44 years","1981-1983","Male",32
"All","40-44 years","1981-1983","Female",25
"All","40-44 years","1984-1986","Male and female",40
"All","40-44 years","1984-1986","Male",24
"All","40-44 years","1984-1986","Female",16
"All","40-44 years","1984-1986","Male and female",59
"All","40-44 years","1984-1986","Male",39
"All","40-44 years","1984-1986","Female",20
"All","40-44 years","1984-1986","Male and female",58
"All","40-44 years","1984-1986","Male",34
"All","40-44 years","1984-1986","Female",24
"All","40-44 years","1987-1989","Male and female",58
"All","40-44 years","1987-1989","Male",33
"All","40-44 years","1987-1989","Female",25
"All","40-44 years","1987-1989","Male and female",69
"All","40-44 years","1987-1989","Male",39
"All","40-44 years","1987-1989","Female",30
"All","40-44 years","1987-1989","Male and female",76
"All","40-44 years","1987-1989","Male",41
"All","40-44 years","1987-1989","Female",35
"All","40-44 years","1990-1992","Male and female",71
"All","40-44 years","1990-1992","Male",51
"All","40-44 years","1990-1992","Female",20
"All","40-44 years","1990-1992","Male and female",85
"All","40-44 years","1990-1992","Male",48
"All","40-44 years","1990-1992","Female",37
"All","40-44 years","1990-1992","Male and female",74
"All","40-44 years","1990-1992","Male",40
"All","40-44 years","1990-1992","Female",34
"All","40-44 years","1993-1995","Male and female",90
"All","40-44 years","1993-1995","Male",55
"All","40-44 years","1993-1995","Female",35
"All","40-44 years","1993-1995","Male and female",94
"All","40-44 years","1993-1995","Male",56
"All","40-44 years","1993-1995","Female",38
"All","40-44 years","1993-1995","Male and female",97
"All","40-44 years","1993-1995","Male",58
"All","40-44 years","1993-1995","Female",39
"All","40-44 years","1996-1998","Male and female",66
"All","40-44 years","1996-1998","Male",35
"All","40-44 years","1996-1998","Female",31
"All","40-44 years","1996-1998","Male and female",73
"All","40-44 years","1996-1998","Male",46
"All","40-44 years","1996-1998","Female",27
"All","40-44 years","1996-1998","Male and female",92
"All","40-44 years","1996-1998","Male",56
"All","40-44 years","1996-1998","Female",36
"All","40-44 years","1999-2001","Male and female",87
"All","40-44 years","1999-2001","Male",47
"All","40-44 years","1999-2001","Female",40
"All","40-44 years","1999-2001","Male and female",77
"All","40-44 years","1999-2001","Male",48
"All","40-44 years","1999-2001","Female",29
"All","40-44 years","1999-2001","Male and female",98
"All","40-44 years","1999-2001","Male",53
"All","40-44 years","1999-2001","Female",45
"All","40-44 years","2002-2004","Male and female",91
"All","40-44 years","2002-2004","Male",50
"All","40-44 years","2002-2004","Female",41
"All","40-44 years","2002-2004","Male and female",103
"All","40-44 years","2002-2004","Male",62
"All","40-44 years","2002-2004","Female",41
"All","40-44 years","2002-2004","Male and female",92
"All","40-44 years","2002-2004","Male",50
"All","40-44 years","2002-2004","Female",42
"All","40-44 years","2005-2007","Male and female",102
"All","40-44 years","2005-2007","Male",52
"All","40-44 years","2005-2007","Female",50
"All","40-44 years","2005-2007","Male and female",91
"All","40-44 years","2005-2007","Male",47
"All","40-44 years","2005-2007","Female",44
"All","40-44 years","2005-2007","Male and female",97
"All","40-44 years","2005-2007","Male",59
"All","40-44 years","2005-2007","Female",38
"All","40-44 years","2008-2010","Male and female",85
"All","40-44 years","2008-2010","Male",57
"All","40-44 years","2008-2010","Female",28
"All","40-44 years","2008-2010","Male and female",100
"All","40-44 years","2008-2010","Male",66
"All","40-44 years","2008-2010","Female",34
"All","40-44 years","2008-2010","Male and female",89
"All","40-44 years","2008-2010","Male",45
"All","40-44 years","2008-2010","Female",44
"All","40-44 years","2011-2013","Male and female",101
"All","40-44 years","2011-2013","Male",61
"All","40-44 years","2011-2013","Female",40
"All","40-44 years","2011-2013","Male and female",113
"All","40-44 years","2011-2013","Male",65
"All","40-44 years","2011-2013","Female",48
"All","40-44 years","2011-2013","Male and female",103
"All","40-44 years","2011-2013","Male",59
"All","40-44 years","2011-2013","Female",44
"All","40-44 years","2014-2016","Male and female",89
"All","40-44 years","2014-2016","Male",52
"All","40-44 years","2014-2016","Female",37
"All","40-44 years","2014-2016","Male and female",110
"All","40-44 years","2014-2016","Male",57
"All","40-44 years","2014-2016","Female",53
"All","40-44 years","2014-2016","Male and female",102
"All","40-44 years","2014-2016","Male",68
"All","40-44 years","2014-2016","Female",34
"All","40-44 years","2017-2019","Male and female",76
"All","40-44 years","2017-2019","Male",52
"All","40-44 years","2017-2019","Female",24
"All","40-44 years","2017-2019","Male and female",81
"All","40-44 years","2017-2019","Male",41
"All","40-44 years","2017-2019","Female",40
"All","40-44 years","2017-2019","Male and female",103
"All","40-44 years","2017-2019","Male",64
"All","40-44 years","2017-2019","Female",39
"All","45-49 years","1975-2019","Male and female",4810
"All","45-49 years","1975-2019","Male",2839
"All","45-49 years","1975-2019","Female",1971
"All","45-49 years","1975-1977","Male and female",56
"All","45-49 years","1975-1977","Male",28
"All","45-49 years","1975-1977","Female",28
"All","45-49 years","1975-1977","Male and female",65
"All","45-49 years","1975-1977","Male",34
"All","45-49 years","1975-1977","Female",31
"All","45-49 years","1975-1977","Male and female",64
"All","45-49 years","1975-1977","Male",37
"All","45-49 years","1975-1977","Female",27
"All","45-49 years","1978-1980","Male and female",57
"All","45-49 years","1978-1980","Male",41
"All","45-49 years","1978-1980","Female",16
"All","45-49 years","1978-1980","Male and female",55
"All","45-49 years","1978-1980","Male",34
"All","45-49 years","1978-1980","Female",21
"All","45-49 years","1978-1980","Male and female",62
"All","45-49 years","1978-1980","Male",34
"All","45-49 years","1978-1980","Female",28
"All","45-49 years","1981-1983","Male and female",59
"All","45-49 years","1981-1983","Male",37
"All","45-49 years","1981-1983","Female",22
"All","45-49 years","1981-1983","Male and female",47
"All","45-49 years","1981-1983","Male",25
"All","45-49 years","1981-1983","Female",22
"All","45-49 years","1981-1983","Male and female",65
"All","45-49 years","1981-1983","Male",35
"All","45-49 years","1981-1983","Female",30
"All","45-49 years","1984-1986","Male and female",48
"All","45-49 years","1984-1986","Male",32
"All","45-49 years","1984-1986","Female",16
"All","45-49 years","1984-1986","Male and female",77
"All","45-49 years","1984-1986","Male",37
"All","45-49 years","1984-1986","Female",40
"All","45-49 years","1984-1986","Male and female",72
"All","45-49 years","1984-1986","Male",48
"All","45-49 years","1984-1986","Female",24
"All","45-49 years","1987-1989","Male and female",82
"All","45-49 years","1987-1989","Male",51
"All","45-49 years","1987-1989","Female",31
"All","45-49 years","1987-1989","Male and female",70
"All","45-49 years","1987-1989","Male",46
"All","45-49 years","1987-1989","Female",24
"All","45-49 years","1987-1989","Male and female",68
"All","45-49 years","1987-1989","Male",42
"All","45-49 years","1987-1989","Female",26
"All","45-49 years","1990-1992","Male and female",66
"All","45-49 years","1990-1992","Male",32
"All","45-49 years","1990-1992","Female",34
"All","45-49 years","1990-1992","Male and female",100
"All","45-49 years","1990-1992","Male",62
"All","45-49 years","1990-1992","Female",38
"All","45-49 years","1990-1992","Male and female",110
"All","45-49 years","1990-1992","Male",63
"All","45-49 years","1990-1992","Female",47
"All","45-49 years","1993-1995","Male and female",92
"All","45-49 years","1993-1995","Male",54
"All","45-49 years","1993-1995","Female",38
"All","45-49 years","1993-1995","Male and female",105
"All","45-49 years","1993-1995","Male",61
"All","45-49 years","1993-1995","Female",44
"All","45-49 years","1993-1995","Male and female",113
"All","45-49 years","1993-1995","Male",67
"All","45-49 years","1993-1995","Female",46
"All","45-49 years","1996-1998","Male and female",103
"All","45-49 years","1996-1998","Male",60
"All","45-49 years","1996-1998","Female",43
"All","45-49 years","1996-1998","Male and female",114
"All","45-49 years","1996-1998","Male",59
"All","45-49 years","1996-1998","Female",55
"All","45-49 years","1996-1998","Male and female",108
"All","45-49 years","1996-1998","Male",57
"All","45-49 years","1996-1998","Female",51
"All","45-49 years","1999-2001","Male and female",129
"All","45-49 years","1999-2001","Male",72
"All","45-49 years","1999-2001","Female",57
"All","45-49 years","1999-2001","Male and female",134
"All","45-49 years","1999-2001","Male",86
"All","45-49 years","1999-2001","Female",48
"All","45-49 years","1999-2001","Male and female",133
"All","45-49 years","1999-2001","Male",74
"All","45-49 years","1999-2001","Female",59
"All","45-49 years","2002-2004","Male and female",141
"All","45-49 years","2002-2004","Male",85
"All","45-49 years","2002-2004","Female",56
"All","45-49 years","2002-2004","Male and female",132
"All","45-49 years","2002-2004","Male",79
"All","45-49 years","2002-2004","Female",53
"All","45-49 years","2002-2004","Male and female",125
"All","45-49 years","2002-2004","Male",72
"All","45-49 years","2002-2004","Female",53
"All","45-49 years","2005-2007","Male and female",142
"All","45-49 years","2005-2007","Male",85
"All","45-49 years","2005-2007","Female",57
"All","45-49 years","2005-2007","Male and female",167
"All","45-49 years","2005-2007","Male",99
"All","45-49 years","2005-2007","Female",68
"All","45-49 years","2005-2007","Male and female",136
"All","45-49 years","2005-2007","Male",91
"All","45-49 years","2005-2007","Female",45
"All","45-49 years","2008-2010","Male and female",132
"All","45-49 years","2008-2010","Male",68
"All","45-49 years","2008-2010","Female",64
"All","45-49 years","2008-2010","Male and female",136
"All","45-49 years","2008-2010","Male",73
"All","45-49 years","2008-2010","Female",63
"All","45-49 years","2008-2010","Male and female",144
"All","45-49 years","2008-2010","Male",84
"All","45-49 years","2008-2010","Female",60
"All","45-49 years","2011-2013","Male and female",166
"All","45-49 years","2011-2013","Male",93
"All","45-49 years","2011-2013","Female",73
"All","45-49 years","2011-2013","Male and female",150
"All","45-49 years","2011-2013","Male",96
"All","45-49 years","2011-2013","Female",54
"All","45-49 years","2011-2013","Male and female",143
"All","45-49 years","2011-2013","Male",87
"All","45-49 years","2011-2013","Female",56
"All","45-49 years","2014-2016","Male and female",141
"All","45-49 years","2014-2016","Male",86
"All","45-49 years","2014-2016","Female",55
"All","45-49 years","2014-2016","Male and female",139
"All","45-49 years","2014-2016","Male",92
"All","45-49 years","2014-2016","Female",47
"All","45-49 years","2014-2016","Male and female",151
"All","45-49 years","2014-2016","Male",84
"All","45-49 years","2014-2016","Female",67
"All","45-49 years","2017-2019","Male and female",135
"All","45-49 years","2017-2019","Male",78
"All","45-49 years","2017-2019","Female",57
"All","45-49 years","2017-2019","Male and female",135
"All","45-49 years","2017-2019","Male",90
"All","45-49 years","2017-2019","Female",45
"All","45-49 years","2017-2019","Male and female",141
"All","45-49 years","2017-2019","Male",89
"All","45-49 years","2017-2019","Female",52
"All","50-54 years","1975-2019","Male and female",6968
"All","50-54 years","1975-2019","Male",4198
"All","50-54 years","1975-2019","Female",2770
"All","50-54 years","1975-1977","Male and female",98
"All","50-54 years","1975-1977","Male",52
"All","50-54 years","1975-1977","Female",46
"All","50-54 years","1975-1977","Male and female",98
"All","50-54 years","1975-1977","Male",48
"All","50-54 years","1975-1977","Female",50
"All","50-54 years","1975-1977","Male and female",85
"All","50-54 years","1975-1977","Male",51
"All","50-54 years","1975-1977","Female",34
"All","50-54 years","1978-1980","Male and female",86
"All","50-54 years","1978-1980","Male",59
"All","50-54 years","1978-1980","Female",27
"All","50-54 years","1978-1980","Male and female",109
"All","50-54 years","1978-1980","Male",60
"All","50-54 years","1978-1980","Female",49
"All","50-54 years","1978-1980","Male and female",96
"All","50-54 years","1978-1980","Male",64
"All","50-54 years","1978-1980","Female",32
"All","50-54 years","1981-1983","Male and female",101
"All","50-54 years","1981-1983","Male",57
"All","50-54 years","1981-1983","Female",44
"All","50-54 years","1981-1983","Male and female",90
"All","50-54 years","1981-1983","Male",59
"All","50-54 years","1981-1983","Female",31
"All","50-54 years","1981-1983","Male and female",75
"All","50-54 years","1981-1983","Male",43
"All","50-54 years","1981-1983","Female",32
"All","50-54 years","1984-1986","Male and female",110
"All","50-54 years","1984-1986","Male",69
"All","50-54 years","1984-1986","Female",41
"All","50-54 years","1984-1986","Male and female",99
"All","50-54 years","1984-1986","Male",62
"All","50-54 years","1984-1986","Female",37
"All","50-54 years","1984-1986","Male and female",85
"All","50-54 years","1984-1986","Male",49
"All","50-54 years","1984-1986","Female",36
"All","50-54 years","1987-1989","Male and female",102
"All","50-54 years","1987-1989","Male",60
"All","50-54 years","1987-1989","Female",42
"All","50-54 years","1987-1989","Male and female",105
"All","50-54 years","1987-1989","Male",78
"All","50-54 years","1987-1989","Female",27
"All","50-54 years","1987-1989","Male and female",101
"All","50-54 years","1987-1989","Male",64
"All","50-54 years","1987-1989","Female",37
"All","50-54 years","1990-1992","Male and female",106
"All","50-54 years","1990-1992","Male",62
"All","50-54 years","1990-1992","Female",44
"All","50-54 years","1990-1992","Male and female",119
"All","50-54 years","1990-1992","Male",85
"All","50-54 years","1990-1992","Female",34
"All","50-54 years","1990-1992","Male and female",93
"All","50-54 years","1990-1992","Male",60
"All","50-54 years","1990-1992","Female",33
"All","50-54 years","1993-1995","Male and female",125
"All","50-54 years","1993-1995","Male",78
"All","50-54 years","1993-1995","Female",47
"All","50-54 years","1993-1995","Male and female",110
"All","50-54 years","1993-1995","Male",57
"All","50-54 years","1993-1995","Female",53
"All","50-54 years","1993-1995","Male and female",161
"All","50-54 years","1993-1995","Male",96
"All","50-54 years","1993-1995","Female",65
"All","50-54 years","1996-1998","Male and female",156
"All","50-54 years","1996-1998","Male",91
"All","50-54 years","1996-1998","Female",65
"All","50-54 years","1996-1998","Male and female",180
"All","50-54 years","1996-1998","Male",118
"All","50-54 years","1996-1998","Female",62
"All","50-54 years","1996-1998","Male and female",165
"All","50-54 years","1996-1998","Male",100
"All","50-54 years","1996-1998","Female",65
"All","50-54 years","1999-2001","Male and female",138
"All","50-54 years","1999-2001","Male",80
"All","50-54 years","1999-2001","Female",58
"All","50-54 years","1999-2001","Male and female",164
"All","50-54 years","1999-2001","Male",105
"All","50-54 years","1999-2001","Female",59
"All","50-54 years","1999-2001","Male and female",182
"All","50-54 years","1999-2001","Male",119
"All","50-54 years","1999-2001","Female",63
"All","50-54 years","2002-2004","Male and female",155
"All","50-54 years","2002-2004","Male",84
"All","50-54 years","2002-2004","Female",71
"All","50-54 years","2002-2004","Male and female",202
"All","50-54 years","2002-2004","Male",123
"All","50-54 years","2002-2004","Female",79
"All","50-54 years","2002-2004","Male and female",182
"All","50-54 years","2002-2004","Male",104
"All","50-54 years","2002-2004","Female",78
"All","50-54 years","2005-2007","Male and female",180
"All","50-54 years","2005-2007","Male",114
"All","50-54 years","2005-2007","Female",66
"All","50-54 years","2005-2007","Male and female",180
"All","50-54 years","2005-2007","Male",104
"All","50-54 years","2005-2007","Female",76
"All","50-54 years","2005-2007","Male and female",152
"All","50-54 years","2005-2007","Male",90
"All","50-54 years","2005-2007","Female",62
"All","50-54 years","2008-2010","Male and female",223
"All","50-54 years","2008-2010","Male",131
"All","50-54 years","2008-2010","Female",92
"All","50-54 years","2008-2010","Male and female",240
"All","50-54 years","2008-2010","Male",147
"All","50-54 years","2008-2010","Female",93
"All","50-54 years","2008-2010","Male and female",225
"All","50-54 years","2008-2010","Male",126
"All","50-54 years","2008-2010","Female",99
"All","50-54 years","2011-2013","Male and female",244
"All","50-54 years","2011-2013","Male",147
"All","50-54 years","2011-2013","Female",97
"All","50-54 years","2011-2013","Male and female",214
"All","50-54 years","2011-2013","Male",122
"All","50-54 years","2011-2013","Female",92
"All","50-54 years","2011-2013","Male and female",267
"All","50-54 years","2011-2013","Male",163
"All","50-54 years","2011-2013","Female",104
"All","50-54 years","2014-2016","Male and female",227
"All","50-54 years","2014-2016","Male",137
"All","50-54 years","2014-2016","Female",90
"All","50-54 years","2014-2016","Male and female",248
"All","50-54 years","2014-2016","Male",156
"All","50-54 years","2014-2016","Female",92
"All","50-54 years","2014-2016","Male and female",209
"All","50-54 years","2014-2016","Male",124
"All","50-54 years","2014-2016","Female",85
"All","50-54 years","2017-2019","Male and female",252
"All","50-54 years","2017-2019","Male",143
"All","50-54 years","2017-2019","Female",109
"All","50-54 years","2017-2019","Male and female",213
"All","50-54 years","2017-2019","Male",127
"All","50-54 years","2017-2019","Female",86
"All","50-54 years","2017-2019","Male and female",216
"All","50-54 years","2017-2019","Male",130
"All","50-54 years","2017-2019","Female",86
"All","55-59 years","1975-2019","Male and female",9374
"All","55-59 years","1975-2019","Male",5755
"All","55-59 years","1975-2019","Female",3619
"All","55-59 years","1975-1977","Male and female",130
"All","55-59 years","1975-1977","Male",78
"All","55-59 years","1975-1977","Female",52
"All","55-59 years","1975-1977","Male and female",133
"All","55-59 years","1975-1977","Male",83
"All","55-59 years","1975-1977","Female",50
"All","55-59 years","1975-1977","Male and female",140
"All","55-59 years","1975-1977","Male",91
"All","55-59 years","1975-1977","Female",49
"All","55-59 years","1978-1980","Male and female",133
"All","55-59 years","1978-1980","Male",82
"All","55-59 years","1978-1980","Female",51
"All","55-59 years","1978-1980","Male and female",146
"All","55-59 years","1978-1980","Male",81
"All","55-59 years","1978-1980","Female",65
"All","55-59 years","1978-1980","Male and female",163
"All","55-59 years","1978-1980","Male",100
"All","55-59 years","1978-1980","Female",63
"All","55-59 years","1981-1983","Male and female",124
"All","55-59 years","1981-1983","Male",74
"All","55-59 years","1981-1983","Female",50
"All","55-59 years","1981-1983","Male and female",141
"All","55-59 years","1981-1983","Male",84
"All","55-59 years","1981-1983","Female",57
"All","55-59 years","1981-1983","Male and female",149
"All","55-59 years","1981-1983","Male",100
"All","55-59 years","1981-1983","Female",49
"All","55-59 years","1984-1986","Male and female",141
"All","55-59 years","1984-1986","Male",90
"All","55-59 years","1984-1986","Female",51
"All","55-59 years","1984-1986","Male and female",148
"All","55-59 years","1984-1986","Male",93
"All","55-59 years","1984-1986","Female",55
"All","55-59 years","1984-1986","Male and female",153
"All","55-59 years","1984-1986","Male",96
"All","55-59 years","1984-1986","Female",57
"All","55-59 years","1987-1989","Male and female",137
"All","55-59 years","1987-1989","Male",89
"All","55-59 years","1987-1989","Female",48
"All","55-59 years","1987-1989","Male and female",141
"All","55-59 years","1987-1989","Male",98
"All","55-59 years","1987-1989","Female",43
"All","55-59 years","1987-1989","Male and female",133
"All","55-59 years","1987-1989","Male",83
"All","55-59 years","1987-1989","Female",50
"All","55-59 years","1990-1992","Male and female",122
"All","55-59 years","1990-1992","Male",74
"All","55-59 years","1990-1992","Female",48
"All","55-59 years","1990-1992","Male and female",156
"All","55-59 years","1990-1992","Male",97
"All","55-59 years","1990-1992","Female",59
"All","55-59 years","1990-1992","Male and female",153
"All","55-59 years","1990-1992","Male",100
"All","55-59 years","1990-1992","Female",53
"All","55-59 years","1993-1995","Male and female",139
"All","55-59 years","1993-1995","Male",95
"All","55-59 years","1993-1995","Female",44
"All","55-59 years","1993-1995","Male and female",148
"All","55-59 years","1993-1995","Male",88
"All","55-59 years","1993-1995","Female",60
"All","55-59 years","1993-1995","Male and female",154
"All","55-59 years","1993-1995","Male",91
"All","55-59 years","1993-1995","Female",63
"All","55-59 years","1996-1998","Male and female",148
"All","55-59 years","1996-1998","Male",90
"All","55-59 years","1996-1998","Female",58
"All","55-59 years","1996-1998","Male and female",151
"All","55-59 years","1996-1998","Male",91
"All","55-59 years","1996-1998","Female",60
"All","55-59 years","1996-1998","Male and female",171
"All","55-59 years","1996-1998","Male",104
"All","55-59 years","1996-1998","Female",67
"All","55-59 years","1999-2001","Male and female",187
"All","55-59 years","1999-2001","Male",113
"All","55-59 years","1999-2001","Female",74
"All","55-59 years","1999-2001","Male and female",204
"All","55-59 years","1999-2001","Male",130
"All","55-59 years","1999-2001","Female",74
"All","55-59 years","1999-2001","Male and female",216
"All","55-59 years","1999-2001","Male",144
"All","55-59 years","1999-2001","Female",72
"All","55-59 years","2002-2004","Male and female",201
"All","55-59 years","2002-2004","Male",143
"All","55-59 years","2002-2004","Female",58
"All","55-59 years","2002-2004","Male and female",243
"All","55-59 years","2002-2004","Male",133
"All","55-59 years","2002-2004","Female",110
"All","55-59 years","2002-2004","Male and female",251
"All","55-59 years","2002-2004","Male",149
"All","55-59 years","2002-2004","Female",102
"All","55-59 years","2005-2007","Male and female",262
"All","55-59 years","2005-2007","Male",157
"All","55-59 years","2005-2007","Female",105
"All","55-59 years","2005-2007","Male and female",259
"All","55-59 years","2005-2007","Male",154
"All","55-59 years","2005-2007","Female",105
"All","55-59 years","2005-2007","Male and female",293
"All","55-59 years","2005-2007","Male",186
"All","55-59 years","2005-2007","Female",107
"All","55-59 years","2008-2010","Male and female",256
"All","55-59 years","2008-2010","Male",157
"All","55-59 years","2008-2010","Female",99
"All","55-59 years","2008-2010","Male and female",284
"All","55-59 years","2008-2010","Male",171
"All","55-59 years","2008-2010","Female",113
"All","55-59 years","2008-2010","Male and female",305
"All","55-59 years","2008-2010","Male",181
"All","55-59 years","2008-2010","Female",124
"All","55-59 years","2011-2013","Male and female",329
"All","55-59 years","2011-2013","Male",202
"All","55-59 years","2011-2013","Female",127
"All","55-59 years","2011-2013","Male and female",328
"All","55-59 years","2011-2013","Male",195
"All","55-59 years","2011-2013","Female",133
