Race,Age.Group,Year.of.Death,Sex,State,Count
White,00 years,1972-1974,Female,Illinois, 
White,00 years,1972-1974,Female,Iowa, 
White,00 years,1972-1974,Female,Kentucky, 
White,00 years,1972-1974,Female,Louisiana, 
White,00 years,1972-1974,Female,Massachusetts, 
White,00 years,1972-1974,Female,New Jersey, 
White,00 years,1972-1974,Female,New Mexico, 
White,00 years,1972-1974,Female,New York, 
White,00 years,1972-1974,Female,Texas, 
White,00 years,1972-1974,Female,Utah, 
White,00 years,1972-1974,Female,Washington, 
White,00 years,1975-1977,Male and female,Arizona, 
White,00 years,1975-1977,Male and female,California,11
White,00 years,1975-1977,Male and female,Connecticut, 
White,00 years,1975-1977,Male and female,Georgia, 
White,00 years,1975-1977,Male and female,Illinois, 
White,00 years,1975-1977,Male and female,Iowa, 
White,00 years,1975-1977,Male and female,Kentucky, 
White,00 years,1975-1977,Male and female,Louisiana, 
White,00 years,1975-1977,Male and female,Massachusetts, 
White,00 years,1975-1977,Male and female,New Jersey, 
White,00 years,1975-1977,Male and female,New Mexico, 
White,00 years,1975-1977,Male and female,New York, 
White,00 years,1975-1977,Male and female,Texas, 
White,00 years,1975-1977,Male and female,Utah, 
White,00 years,1975-1977,Male and female,Washington, 
White,00 years,1975-1977,Male,Arizona, 
White,00 years,1975-1977,Male,California, 
White,00 years,1975-1977,Male,Connecticut, 
White,00 years,1975-1977,Male,Georgia, 
White,00 years,1975-1977,Male,Illinois, 
White,00 years,1975-1977,Male,Iowa, 
White,00 years,1975-1977,Male,Kentucky, 
White,00 years,1975-1977,Male,Louisiana, 
White,00 years,1975-1977,Male,Massachusetts, 
White,00 years,1975-1977,Male,New Jersey, 
White,00 years,1975-1977,Male,New Mexico, 
White,00 years,1975-1977,Male,New York, 
White,00 years,1975-1977,Male,Texas, 
White,00 years,1975-1977,Male,Utah, 
White,00 years,1975-1977,Male,Washington, 
White,00 years,1975-1977,Female,Arizona, 
White,00 years,1975-1977,Female,California, 
White,00 years,1975-1977,Female,Connecticut, 
White,00 years,1975-1977,Female,Georgia, 
White,00 years,1975-1977,Female,Illinois, 
White,00 years,1975-1977,Female,Iowa, 
White,00 years,1975-1977,Female,Kentucky, 
White,00 years,1975-1977,Female,Louisiana, 
White,00 years,1975-1977,Female,Massachusetts, 
White,00 years,1975-1977,Female,New Jersey, 
White,00 years,1975-1977,Female,New Mexico, 
White,00 years,1975-1977,Female,New York, 
White,00 years,1975-1977,Female,Texas, 
White,00 years,1975-1977,Female,Utah, 
White,00 years,1975-1977,Female,Washington, 
White,00 years,1978-1980,Male and female,Arizona, 
White,00 years,1978-1980,Male and female,California, 
White,00 years,1978-1980,Male and female,Connecticut, 
White,00 years,1978-1980,Male and female,Georgia, 
White,00 years,1978-1980,Male and female,Illinois, 
White,00 years,1978-1980,Male and female,Iowa, 
White,00 years,1978-1980,Male and female,Kentucky, 
White,00 years,1978-1980,Male and female,Louisiana, 
White,00 years,1978-1980,Male and female,Massachusetts, 
White,00 years,1978-1980,Male and female,New Jersey, 
White,00 years,1978-1980,Male and female,New Mexico, 
White,00 years,1978-1980,Male and female,New York, 
White,00 years,1978-1980,Male and female,Texas, 
White,00 years,1978-1980,Male and female,Utah, 
White,00 years,1978-1980,Male and female,Washington, 
White,00 years,1978-1980,Male,Arizona, 
White,00 years,1978-1980,Male,California, 
White,00 years,1978-1980,Male,Connecticut, 
White,00 years,1978-1980,Male,Georgia, 
White,00 years,1978-1980,Male,Illinois, 
White,00 years,1978-1980,Male,Iowa, 
White,00 years,1978-1980,Male,Kentucky, 
White,00 years,1978-1980,Male,Louisiana, 
White,00 years,1978-1980,Male,Massachusetts, 
White,00 years,1978-1980,Male,New Jersey, 
White,00 years,1978-1980,Male,New Mexico, 
White,00 years,1978-1980,Male,New York, 
White,00 years,1978-1980,Male,Texas, 
White,00 years,1978-1980,Male,Utah, 
White,00 years,1978-1980,Male,Washington, 
White,00 years,1978-1980,Female,Arizona, 
White,00 years,1978-1980,Female,California, 
White,00 years,1978-1980,Female,Connecticut, 
White,00 years,1978-1980,Female,Georgia, 
White,00 years,1978-1980,Female,Illinois, 
White,00 years,1978-1980,Female,Iowa, 
White,00 years,1978-1980,Female,Kentucky, 
White,00 years,1978-1980,Female,Louisiana, 
White,00 years,1978-1980,Female,Massachusetts, 
White,00 years,1978-1980,Female,New Jersey, 
White,00 years,1978-1980,Female,New Mexico, 
White,00 years,1978-1980,Female,New York, 
White,00 years,1978-1980,Female,Texas, 
White,00 years,1978-1980,Female,Utah, 
White,00 years,1978-1980,Female,Washington, 
White,00 years,1981-1983,Male and female,Arizona, 
White,00 years,1981-1983,Male and female,California, 
White,00 years,1981-1983,Male and female,Connecticut, 
White,00 years,1981-1983,Male and female,Georgia, 
White,00 years,1981-1983,Male and female,Illinois, 
White,00 years,1981-1983,Male and female,Iowa, 
White,00 years,1981-1983,Male and female,Kentucky, 
White,00 years,1981-1983,Male and female,Louisiana, 
White,00 years,1981-1983,Male and female,Massachusetts, 
White,00 years,1981-1983,Male and female,New Jersey, 
White,00 years,1981-1983,Male and female,New Mexico, 
White,00 years,1981-1983,Male and female,New York, 
White,00 years,1981-1983,Male and female,Texas, 
White,00 years,1981-1983,Male and female,Utah, 
White,00 years,1981-1983,Male and female,Washington, 
White,00 years,1981-1983,Male,Arizona, 
White,00 years,1981-1983,Male,California, 
White,00 years,1981-1983,Male,Connecticut, 
White,00 years,1981-1983,Male,Georgia, 
White,00 years,1981-1983,Male,Illinois, 
White,00 years,1981-1983,Male,Iowa, 
White,00 years,1981-1983,Male,Kentucky, 
White,00 years,1981-1983,Male,Louisiana, 
White,00 years,1981-1983,Male,Massachusetts, 
White,00 years,1981-1983,Male,New Jersey, 
White,00 years,1981-1983,Male,New Mexico, 
White,00 years,1981-1983,Male,New York, 
White,00 years,1981-1983,Male,Texas, 
White,00 years,1981-1983,Male,Utah, 
White,00 years,1981-1983,Male,Washington, 
White,00 years,1981-1983,Female,Arizona, 
White,00 years,1981-1983,Female,California, 
White,00 years,1981-1983,Female,Connecticut, 
White,00 years,1981-1983,Female,Georgia, 
White,00 years,1981-1983,Female,Illinois, 
White,00 years,1981-1983,Female,Iowa, 
White,00 years,1981-1983,Female,Kentucky, 
White,00 years,1981-1983,Female,Louisiana, 
White,00 years,1981-1983,Female,Massachusetts, 
White,00 years,1981-1983,Female,New Jersey, 
White,00 years,1981-1983,Female,New Mexico, 
White,00 years,1981-1983,Female,New York, 
White,00 years,1981-1983,Female,Texas, 
White,00 years,1981-1983,Female,Utah, 
White,00 years,1981-1983,Female,Washington, 
White,00 years,1984-1986,Male and female,Arizona, 
White,00 years,1984-1986,Male and female,California, 
White,00 years,1984-1986,Male and female,Connecticut, 
White,00 years,1984-1986,Male and female,Georgia, 
White,00 years,1984-1986,Male and female,Illinois, 
White,00 years,1984-1986,Male and female,Iowa, 
White,00 years,1984-1986,Male and female,Kentucky, 
White,00 years,1984-1986,Male and female,Louisiana, 
White,00 years,1984-1986,Male and female,Massachusetts, 
White,00 years,1984-1986,Male and female,New Jersey, 
White,00 years,1984-1986,Male and female,New Mexico, 
White,00 years,1984-1986,Male and female,New York, 
White,00 years,1984-1986,Male and female,Texas, 
White,00 years,1984-1986,Male and female,Utah, 
White,00 years,1984-1986,Male and female,Washington, 
White,00 years,1984-1986,Male,Arizona, 
White,00 years,1984-1986,Male,California, 
White,00 years,1984-1986,Male,Connecticut, 
White,00 years,1984-1986,Male,Georgia, 
White,00 years,1984-1986,Male,Illinois, 
White,00 years,1984-1986,Male,Iowa, 
White,00 years,1984-1986,Male,Kentucky, 
White,00 years,1984-1986,Male,Louisiana, 
White,00 years,1984-1986,Male,Massachusetts, 
White,00 years,1984-1986,Male,New Jersey, 
White,00 years,1984-1986,Male,New Mexico, 
White,00 years,1984-1986,Male,New York, 
White,00 years,1984-1986,Male,Texas, 
White,00 years,1984-1986,Male,Utah, 
White,00 years,1984-1986,Male,Washington, 
White,00 years,1984-1986,Female,Arizona, 
White,00 years,1984-1986,Female,California, 
White,00 years,1984-1986,Female,Connecticut, 
White,00 years,1984-1986,Female,Georgia, 
White,00 years,1984-1986,Female,Illinois, 
White,00 years,1984-1986,Female,Iowa, 
White,00 years,1984-1986,Female,Kentucky, 
White,00 years,1984-1986,Female,Louisiana, 
White,00 years,1984-1986,Female,Massachusetts, 
White,00 years,1984-1986,Female,New Jersey, 
White,00 years,1984-1986,Female,New Mexico, 
White,00 years,1984-1986,Female,New York, 
White,00 years,1984-1986,Female,Texas, 
White,00 years,1984-1986,Female,Utah, 
White,00 years,1984-1986,Female,Washington, 
White,00 years,1987-1989,Male and female,Arizona, 
White,00 years,1987-1989,Male and female,California, 
White,00 years,1987-1989,Male and female,Connecticut, 
White,00 years,1987-1989,Male and female,Georgia, 
White,00 years,1987-1989,Male and female,Illinois, 
White,00 years,1987-1989,Male and female,Iowa, 
White,00 years,1987-1989,Male and female,Kentucky, 
White,00 years,1987-1989,Male and female,Louisiana, 
White,00 years,1987-1989,Male and female,Massachusetts, 
White,00 years,1987-1989,Male and female,New Jersey, 
White,00 years,1987-1989,Male and female,New Mexico, 
White,00 years,1987-1989,Male and female,New York, 
White,00 years,1987-1989,Male and female,Texas, 
White,00 years,1987-1989,Male and female,Utah, 
White,00 years,1987-1989,Male and female,Washington, 
White,00 years,1987-1989,Male,Arizona, 
White,00 years,1987-1989,Male,California, 
White,00 years,1987-1989,Male,Connecticut, 
White,00 years,1987-1989,Male,Georgia, 
White,00 years,1987-1989,Male,Illinois, 
White,00 years,1987-1989,Male,Iowa, 
White,00 years,1987-1989,Male,Kentucky, 
White,00 years,1987-1989,Male,Louisiana, 
White,00 years,1987-1989,Male,Massachusetts, 
White,00 years,1987-1989,Male,New Jersey, 
White,00 years,1987-1989,Male,New Mexico, 
White,00 years,1987-1989,Male,New York, 
White,00 years,1987-1989,Male,Texas, 
White,00 years,1987-1989,Male,Utah, 
White,00 years,1987-1989,Male,Washington, 
White,00 years,1987-1989,Female,Arizona, 
White,00 years,1987-1989,Female,California, 
White,00 years,1987-1989,Female,Connecticut, 
White,00 years,1987-1989,Female,Georgia, 
White,00 years,1987-1989,Female,Illinois, 
White,00 years,1987-1989,Female,Iowa, 
White,00 years,1987-1989,Female,Kentucky, 
White,00 years,1987-1989,Female,Louisiana, 
White,00 years,1987-1989,Female,Massachusetts, 
White,00 years,1987-1989,Female,New Jersey, 
White,00 years,1987-1989,Female,New Mexico, 
White,00 years,1987-1989,Female,New York, 
White,00 years,1987-1989,Female,Texas, 
White,00 years,1987-1989,Female,Utah, 
White,00 years,1987-1989,Female,Washington, 
White,00 years,1990-1992,Male and female,Arizona, 
White,00 years,1990-1992,Male and female,California, 
White,00 years,1990-1992,Male and female,Connecticut, 
White,00 years,1990-1992,Male and female,Georgia, 
White,00 years,1990-1992,Male and female,Illinois, 
White,00 years,1990-1992,Male and female,Iowa, 
White,00 years,1990-1992,Male and female,Kentucky, 
White,00 years,1990-1992,Male and female,Louisiana, 
White,00 years,1990-1992,Male and female,Massachusetts, 
White,00 years,1990-1992,Male and female,New Jersey, 
White,00 years,1990-1992,Male and female,New Mexico, 
White,00 years,1990-1992,Male and female,New York, 
White,00 years,1990-1992,Male and female,Texas,10
White,00 years,1990-1992,Male and female,Utah, 
White,00 years,1990-1992,Male and female,Washington, 
White,00 years,1990-1992,Male,Arizona, 
White,00 years,1990-1992,Male,California, 
White,00 years,1990-1992,Male,Connecticut, 
White,00 years,1990-1992,Male,Georgia, 
White,00 years,1990-1992,Male,Illinois, 
White,00 years,1990-1992,Male,Iowa, 
White,00 years,1990-1992,Male,Kentucky, 
White,00 years,1990-1992,Male,Louisiana, 
White,00 years,1990-1992,Male,Massachusetts, 
White,00 years,1990-1992,Male,New Jersey, 
White,00 years,1990-1992,Male,New Mexico, 
White,00 years,1990-1992,Male,New York, 
White,00 years,1990-1992,Male,Texas, 
White,00 years,1990-1992,Male,Utah, 
White,00 years,1990-1992,Male,Washington, 
White,00 years,1990-1992,Female,Arizona, 
White,00 years,1990-1992,Female,California, 
White,00 years,1990-1992,Female,Connecticut, 
White,00 years,1990-1992,Female,Georgia, 
White,00 years,1990-1992,Female,Illinois, 
White,00 years,1990-1992,Female,Iowa, 
White,00 years,1990-1992,Female,Kentucky, 
White,00 years,1990-1992,Female,Louisiana, 
White,00 years,1990-1992,Female,Massachusetts, 
White,00 years,1990-1992,Female,New Jersey, 
White,00 years,1990-1992,Female,New Mexico, 
White,00 years,1990-1992,Female,New York, 
White,00 years,1990-1992,Female,Texas, 
White,00 years,1990-1992,Female,Utah, 
White,00 years,1990-1992,Female,Washington, 
White,00 years,1993-1995,Male and female,Arizona, 
White,00 years,1993-1995,Male and female,California,13
White,00 years,1993-1995,Male and female,Connecticut, 
White,00 years,1993-1995,Male and female,Georgia, 
White,00 years,1993-1995,Male and female,Illinois, 
White,00 years,1993-1995,Male and female,Iowa, 
White,00 years,1993-1995,Male and female,Kentucky, 
White,00 years,1993-1995,Male and female,Louisiana, 
White,00 years,1993-1995,Male and female,Massachusetts, 
White,00 years,1993-1995,Male and female,New Jersey, 
White,00 years,1993-1995,Male and female,New Mexico, 
White,00 years,1993-1995,Male and female,New York, 
White,00 years,1993-1995,Male and female,Texas, 
White,00 years,1993-1995,Male and female,Utah, 
White,00 years,1993-1995,Male and female,Washington, 
White,00 years,1993-1995,Male,Arizona, 
White,00 years,1993-1995,Male,California, 
White,00 years,1993-1995,Male,Connecticut, 
White,00 years,1993-1995,Male,Georgia, 
White,00 years,1993-1995,Male,Illinois, 
White,00 years,1993-1995,Male,Iowa, 
White,00 years,1993-1995,Male,Kentucky, 
White,00 years,1993-1995,Male,Louisiana, 
White,00 years,1993-1995,Male,Massachusetts, 
White,00 years,1993-1995,Male,New Jersey, 
White,00 years,1993-1995,Male,New Mexico, 
White,00 years,1993-1995,Male,New York, 
White,00 years,1993-1995,Male,Texas, 
White,00 years,1993-1995,Male,Utah, 
White,00 years,1993-1995,Male,Washington, 
White,00 years,1993-1995,Female,Arizona, 
White,00 years,1993-1995,Female,California, 
White,00 years,1993-1995,Female,Connecticut, 
White,00 years,1993-1995,Female,Georgia, 
White,00 years,1993-1995,Female,Illinois, 
White,00 years,1993-1995,Female,Iowa, 
White,00 years,1993-1995,Female,Kentucky, 
White,00 years,1993-1995,Female,Louisiana, 
White,00 years,1993-1995,Female,Massachusetts, 
White,00 years,1993-1995,Female,New Jersey, 
White,00 years,1993-1995,Female,New Mexico, 
White,00 years,1993-1995,Female,New York, 
White,00 years,1993-1995,Female,Texas, 
White,00 years,1993-1995,Female,Utah, 
White,00 years,1993-1995,Female,Washington, 
White,00 years,1996-1998,Male and female,Arizona, 
White,00 years,1996-1998,Male and female,California,10
White,00 years,1996-1998,Male and female,Connecticut, 
White,00 years,1996-1998,Male and female,Georgia, 
White,00 years,1996-1998,Male and female,Illinois, 
White,00 years,1996-1998,Male and female,Iowa, 
White,00 years,1996-1998,Male and female,Kentucky, 
White,00 years,1996-1998,Male and female,Louisiana, 
White,00 years,1996-1998,Male and female,Massachusetts, 
White,00 years,1996-1998,Male and female,New Jersey, 
White,00 years,1996-1998,Male and female,New Mexico, 
White,00 years,1996-1998,Male and female,New York, 
White,00 years,1996-1998,Male and female,Texas, 
White,00 years,1996-1998,Male and female,Utah, 
White,00 years,1996-1998,Male and female,Washington, 
White,00 years,1996-1998,Male,Arizona, 
White,00 years,1996-1998,Male,California, 
White,00 years,1996-1998,Male,Connecticut, 
White,00 years,1996-1998,Male,Georgia, 
White,00 years,1996-1998,Male,Illinois, 
White,00 years,1996-1998,Male,Iowa, 
White,00 years,1996-1998,Male,Kentucky, 
White,00 years,1996-1998,Male,Louisiana, 
White,00 years,1996-1998,Male,Massachusetts, 
White,00 years,1996-1998,Male,New Jersey, 
White,00 years,1996-1998,Male,New Mexico, 
White,00 years,1996-1998,Male,New York, 
White,00 years,1996-1998,Male,Texas, 
White,00 years,1996-1998,Male,Utah, 
White,00 years,1996-1998,Male,Washington, 
White,00 years,1996-1998,Female,Arizona, 
White,00 years,1996-1998,Female,California, 
White,00 years,1996-1998,Female,Connecticut, 
White,00 years,1996-1998,Female,Georgia, 
White,00 years,1996-1998,Female,Illinois, 
White,00 years,1996-1998,Female,Iowa, 
White,00 years,1996-1998,Female,Kentucky, 
White,00 years,1996-1998,Female,Louisiana, 
White,00 years,1996-1998,Female,Massachusetts, 
White,00 years,1996-1998,Female,New Jersey, 
White,00 years,1996-1998,Female,New Mexico, 
White,00 years,1996-1998,Female,New York, 
White,00 years,1996-1998,Female,Texas, 
White,00 years,1996-1998,Female,Utah, 
White,00 years,1996-1998,Female,Washington, 
White,00 years,1999-2001,Male and female,Arizona, 
White,00 years,1999-2001,Male and female,California,10
White,00 years,1999-2001,Male and female,Connecticut, 
White,00 years,1999-2001,Male and female,Georgia, 
White,00 years,1999-2001,Male and female,Illinois, 
White,00 years,1999-2001,Male and female,Iowa, 
White,00 years,1999-2001,Male and female,Kentucky, 
White,00 years,1999-2001,Male and female,Louisiana, 
White,00 years,1999-2001,Male and female,Massachusetts, 
White,00 years,1999-2001,Male and female,New Jersey, 
White,00 years,1999-2001,Male and female,New Mexico, 
White,00 years,1999-2001,Male and female,New York, 
White,00 years,1999-2001,Male and female,Texas,10
White,00 years,1999-2001,Male and female,Utah, 
White,00 years,1999-2001,Male and female,Washington, 
White,00 years,1999-2001,Male,Arizona, 
White,00 years,1999-2001,Male,California, 
White,00 years,1999-2001,Male,Connecticut, 
White,00 years,1999-2001,Male,Georgia, 
White,00 years,1999-2001,Male,Illinois, 
White,00 years,1999-2001,Male,Iowa, 
White,00 years,1999-2001,Male,Kentucky, 
White,00 years,1999-2001,Male,Louisiana, 
White,00 years,1999-2001,Male,Massachusetts, 
White,00 years,1999-2001,Male,New Jersey, 
White,00 years,1999-2001,Male,New Mexico, 
White,00 years,1999-2001,Male,New York, 
White,00 years,1999-2001,Male,Texas, 
White,00 years,1999-2001,Male,Utah, 
White,00 years,1999-2001,Male,Washington, 
White,00 years,1999-2001,Female,Arizona, 
White,00 years,1999-2001,Female,California, 
White,00 years,1999-2001,Female,Connecticut, 
White,00 years,1999-2001,Female,Georgia, 
White,00 years,1999-2001,Female,Illinois, 
White,00 years,1999-2001,Female,Iowa, 
White,00 years,1999-2001,Female,Kentucky, 
White,00 years,1999-2001,Female,Louisiana, 
White,00 years,1999-2001,Female,Massachusetts, 
White,00 years,1999-2001,Female,New Jersey, 
White,00 years,1999-2001,Female,New Mexico, 
White,00 years,1999-2001,Female,New York, 
White,00 years,1999-2001,Female,Texas, 
White,00 years,1999-2001,Female,Utah, 
White,00 years,1999-2001,Female,Washington, 
White,00 years,2002-2004,Male and female,Arizona, 
White,00 years,2002-2004,Male and female,California, 
White,00 years,2002-2004,Male and female,Connecticut, 
White,00 years,2002-2004,Male and female,Georgia, 
White,00 years,2002-2004,Male and female,Illinois, 
White,00 years,2002-2004,Male and female,Iowa, 
White,00 years,2002-2004,Male and female,Kentucky, 
White,00 years,2002-2004,Male and female,Louisiana, 
White,00 years,2002-2004,Male and female,Massachusetts, 
White,00 years,2002-2004,Male and female,New Jersey, 
White,00 years,2002-2004,Male and female,New Mexico, 
White,00 years,2002-2004,Male and female,New York, 
White,00 years,2002-2004,Male and female,Texas, 
White,00 years,2002-2004,Male and female,Utah, 
White,00 years,2002-2004,Male and female,Washington, 
White,00 years,2002-2004,Male,Arizona, 
White,00 years,2002-2004,Male,California, 
White,00 years,2002-2004,Male,Connecticut, 
White,00 years,2002-2004,Male,Georgia, 
White,00 years,2002-2004,Male,Illinois, 
White,00 years,2002-2004,Male,Iowa, 
White,00 years,2002-2004,Male,Kentucky, 
White,00 years,2002-2004,Male,Louisiana, 
White,00 years,2002-2004,Male,Massachusetts, 
White,00 years,2002-2004,Male,New Jersey, 
White,00 years,2002-2004,Male,New Mexico, 
White,00 years,2002-2004,Male,New York, 
White,00 years,2002-2004,Male,Texas, 
White,00 years,2002-2004,Male,Utah, 
White,00 years,2002-2004,Male,Washington, 
White,00 years,2002-2004,Female,Arizona, 
White,00 years,2002-2004,Female,California, 
White,00 years,2002-2004,Female,Connecticut, 
White,00 years,2002-2004,Female,Georgia, 
White,00 years,2002-2004,Female,Illinois, 
White,00 years,2002-2004,Female,Iowa, 
White,00 years,2002-2004,Female,Kentucky, 
White,00 years,2002-2004,Female,Louisiana, 
White,00 years,2002-2004,Female,Massachusetts, 
White,00 years,2002-2004,Female,New Jersey, 
White,00 years,2002-2004,Female,New Mexico, 
White,00 years,2002-2004,Female,New York, 
White,00 years,2002-2004,Female,Texas, 
White,00 years,2002-2004,Female,Utah, 
White,00 years,2002-2004,Female,Washington, 
White,00 years,2005-2007,Male and female,Arizona, 
White,00 years,2005-2007,Male and female,California, 
White,00 years,2005-2007,Male and female,Connecticut, 
White,00 years,2005-2007,Male and female,Georgia, 
White,00 years,2005-2007,Male and female,Illinois, 
White,00 years,2005-2007,Male and female,Iowa, 
White,00 years,2005-2007,Male and female,Kentucky, 
White,00 years,2005-2007,Male and female,Louisiana, 
White,00 years,2005-2007,Male and female,Massachusetts, 
White,00 years,2005-2007,Male and female,New Jersey, 
White,00 years,2005-2007,Male and female,New Mexico, 
White,00 years,2005-2007,Male and female,New York, 
White,00 years,2005-2007,Male and female,Texas, 
White,00 years,2005-2007,Male and female,Utah, 
White,00 years,2005-2007,Male and female,Washington, 
White,00 years,2005-2007,Male,Arizona, 
White,00 years,2005-2007,Male,California, 
White,00 years,2005-2007,Male,Connecticut, 
White,00 years,2005-2007,Male,Georgia, 
White,00 years,2005-2007,Male,Illinois, 
White,00 years,2005-2007,Male,Iowa, 
White,00 years,2005-2007,Male,Kentucky, 
White,00 years,2005-2007,Male,Louisiana, 
White,00 years,2005-2007,Male,Massachusetts, 
White,00 years,2005-2007,Male,New Jersey, 
White,00 years,2005-2007,Male,New Mexico, 
White,00 years,2005-2007,Male,New York, 
White,00 years,2005-2007,Male,Texas, 
White,00 years,2005-2007,Male,Utah, 
White,00 years,2005-2007,Male,Washington, 
White,00 years,2005-2007,Female,Arizona, 
White,00 years,2005-2007,Female,California, 
White,00 years,2005-2007,Female,Connecticut, 
White,00 years,2005-2007,Female,Georgia, 
White,00 years,2005-2007,Female,Illinois, 
White,00 years,2005-2007,Female,Iowa, 
White,00 years,2005-2007,Female,Kentucky, 
White,00 years,2005-2007,Female,Louisiana, 
White,00 years,2005-2007,Female,Massachusetts, 
White,00 years,2005-2007,Female,New Jersey, 
White,00 years,2005-2007,Female,New Mexico, 
White,00 years,2005-2007,Female,New York, 
White,00 years,2005-2007,Female,Texas, 
White,00 years,2005-2007,Female,Utah, 
White,00 years,2005-2007,Female,Washington, 
White,00 years,2008-2010,Male and female,Arizona, 
White,00 years,2008-2010,Male and female,California,12
White,00 years,2008-2010,Male and female,Connecticut, 
White,00 years,2008-2010,Male and female,Georgia, 
White,00 years,2008-2010,Male and female,Illinois, 
White,00 years,2008-2010,Male and female,Iowa, 
White,00 years,2008-2010,Male and female,Kentucky, 
White,00 years,2008-2010,Male and female,Louisiana, 
White,00 years,2008-2010,Male and female,Massachusetts, 
White,00 years,2008-2010,Male and female,New Jersey, 
White,00 years,2008-2010,Male and female,New Mexico, 
White,00 years,2008-2010,Male and female,New York, 
White,00 years,2008-2010,Male and female,Texas, 
White,00 years,2008-2010,Male and female,Utah, 
White,00 years,2008-2010,Male and female,Washington, 
White,00 years,2008-2010,Male,Arizona, 
White,00 years,2008-2010,Male,California, 
White,00 years,2008-2010,Male,Connecticut, 
White,00 years,2008-2010,Male,Georgia, 
White,00 years,2008-2010,Male,Illinois, 
White,00 years,2008-2010,Male,Iowa, 
White,00 years,2008-2010,Male,Kentucky, 
White,00 years,2008-2010,Male,Louisiana, 
White,00 years,2008-2010,Male,Massachusetts, 
White,00 years,2008-2010,Male,New Jersey, 
White,00 years,2008-2010,Male,New Mexico, 
White,00 years,2008-2010,Male,New York, 
White,00 years,2008-2010,Male,Texas, 
White,00 years,2008-2010,Male,Utah, 
White,00 years,2008-2010,Male,Washington, 
White,00 years,2008-2010,Female,Arizona, 
White,00 years,2008-2010,Female,California, 
White,00 years,2008-2010,Female,Connecticut, 
White,00 years,2008-2010,Female,Georgia, 
White,00 years,2008-2010,Female,Illinois, 
White,00 years,2008-2010,Female,Iowa, 
White,00 years,2008-2010,Female,Kentucky, 
White,00 years,2008-2010,Female,Louisiana, 
White,00 years,2008-2010,Female,Massachusetts, 
White,00 years,2008-2010,Female,New Jersey, 
White,00 years,2008-2010,Female,New Mexico, 
White,00 years,2008-2010,Female,New York, 
White,00 years,2008-2010,Female,Texas, 
White,00 years,2008-2010,Female,Utah, 
White,00 years,2008-2010,Female,Washington, 
White,00 years,2011-2015,Male and female,Arizona, 
White,00 years,2011-2015,Male and female,California,15
White,00 years,2011-2015,Male and female,Connecticut, 
White,00 years,2011-2015,Male and female,Georgia, 
White,00 years,2011-2015,Male and female,Illinois, 
White,00 years,2011-2015,Male and female,Iowa, 
White,00 years,2011-2015,Male and female,Kentucky, 
White,00 years,2011-2015,Male and female,Louisiana, 
White,00 years,2011-2015,Male and female,Massachusetts, 
White,00 years,2011-2015,Male and female,New Jersey, 
White,00 years,2011-2015,Male and female,New Mexico, 
White,00 years,2011-2015,Male and female,New York, 
White,00 years,2011-2015,Male and female,Texas, 
White,00 years,2011-2015,Male and female,Utah, 
White,00 years,2011-2015,Male and female,Washington, 
White,00 years,2011-2015,Male,Arizona, 
White,00 years,2011-2015,Male,California, 
White,00 years,2011-2015,Male,Connecticut, 
White,00 years,2011-2015,Male,Georgia, 
White,00 years,2011-2015,Male,Illinois, 
White,00 years,2011-2015,Male,Iowa, 
White,00 years,2011-2015,Male,Kentucky, 
White,00 years,2011-2015,Male,Louisiana, 
White,00 years,2011-2015,Male,Massachusetts, 
White,00 years,2011-2015,Male,New Jersey, 
White,00 years,2011-2015,Male,New Mexico, 
White,00 years,2011-2015,Male,New York, 
White,00 years,2011-2015,Male,Texas, 
White,00 years,2011-2015,Male,Utah, 
White,00 years,2011-2015,Male,Washington, 
White,00 years,2011-2015,Female,Arizona, 
White,00 years,2011-2015,Female,California, 
White,00 years,2011-2015,Female,Connecticut, 
White,00 years,2011-2015,Female,Georgia, 
White,00 years,2011-2015,Female,Illinois, 
White,00 years,2011-2015,Female,Iowa, 
White,00 years,2011-2015,Female,Kentucky, 
White,00 years,2011-2015,Female,Louisiana, 
White,00 years,2011-2015,Female,Massachusetts, 
White,00 years,2011-2015,Female,New Jersey, 
White,00 years,2011-2015,Female,New Mexico, 
White,00 years,2011-2015,Female,New York, 
White,00 years,2011-2015,Female,Texas, 
White,00 years,2011-2015,Female,Utah, 
White,00 years,2011-2015,Female,Washington, 
White,00 years,2016-2020,Male and female,Arizona, 
White,00 years,2016-2020,Male and female,California,12
White,00 years,2016-2020,Male and female,Connecticut, 
White,00 years,2016-2020,Male and female,Georgia, 
White,00 years,2016-2020,Male and female,Illinois, 
White,00 years,2016-2020,Male and female,Iowa, 
White,00 years,2016-2020,Male and female,Kentucky, 
White,00 years,2016-2020,Male and female,Louisiana, 
White,00 years,2016-2020,Male and female,Massachusetts, 
White,00 years,2016-2020,Male and female,New Jersey, 
White,00 years,2016-2020,Male and female,New Mexico, 
White,00 years,2016-2020,Male and female,New York, 
White,00 years,2016-2020,Male and female,Texas,10
White,00 years,2016-2020,Male and female,Utah, 
White,00 years,2016-2020,Male and female,Washington, 
White,00 years,2016-2020,Male,Arizona, 
White,00 years,2016-2020,Male,California, 
White,00 years,2016-2020,Male,Connecticut, 
White,00 years,2016-2020,Male,Georgia, 
White,00 years,2016-2020,Male,Illinois, 
White,00 years,2016-2020,Male,Iowa, 
